,heading,date,link
0,"Response to Student Queries Regarding Automatic Elective Course AllotmentPublished By:  KHUSHIL KUMAR SAINI, NSIT ADMIN, CIMS",19-12-2018,https://docs.google.com/document/d/1Us2dkHjck6zvNQSVkVe8iIKFGHAIsUNI9djmddVF7vQ/edit?usp=sharing
1,"B.E 6th Sem ED/EG/EO Course Allotment List for even Sem Jan 2019Published By:  ABHISHEK FAUJDAR, SENIOR SYSTEM ANALYST, CIMS",19-12-2018,https://www.imsnsit.org/imsnsit/plum_url.php?BU8wS/J611x4dDAiZCN2Hm8yKjoJULFhHAyKWjTNQjiAt3k0iArlFfheCfWZtEOo0MBWyhuUktpvT4R0X/6ulgdqAOLWVBlxMH71gf7CGZoAHqhGAp5Q+OUd0uQoJ/mf+7L9C4p99Pc5AlIFRfdUMJPZWiy5rqGI+6awfbPC6mWJZZ3iTPXnXq8WpHvvI3OE6oxID2feRE/rgGDQw0tWlw==
2,"List of BE 1st, 2nd, 3rd Year Students who did not Pay Hostel and / or Mess Fee till 7 AM on 18 Dec 2018Published By:  KHUSHIL KUMAR SAINI, NSIT ADMIN, CIMS",18-12-2018,https://www.imsnsit.org/imsnsit/plum_url.php?dbBYpckW5gZyW0RC2y6K0BBdKzOIbiDuTbLVW1WT1uQed/OykO97Jn282+tluI318zZTL8oIXNkIETuSc+uj1Jwyp/icpbvdBw1vMXHDBl9OJLPqjlvGxgqNbeG4feJiXpvaIN6Hu3o12pYskNdZxaCShnXeCqnEAB2BRxuduP38youOYs3gZdhwHl0BlaEF/ECotdRPeBu2r+OJKWrk6g==
3,"List of Students Who have done Online Registration  but did not Pay Hostel and / or Mess Fee till 8:30 PM on 15 Dec 2018Published By:  KHUSHIL KUMAR SAINI, NSIT ADMIN, CIMS",15-12-2018,https://www.imsnsit.org/imsnsit/plum_url.php?gaYGFXoUmO5auDrU3HqP+h38dGruQjtMRcRAy+AW2ug2qSq7YZ0WWQIARGi6QOcDjxIxAGa+ws7WePeGiB2eOem6qUTgc32kstAUn/ENhL3PAsPtbqLgF2Gv/GEJCDu4Q9zFPQRZy+NxqyMexDXdVoGDsiwH7vWpnB4ULSfdEYQH2P5n3hSo/fJ1eiRbBaPIDreBfr7Fg2P1aVLVMS576Q+DAfT5m0zKu2SJXN8F0Uk=
4,"Hostel and Mess Fee Notice for Even Semester 2019Published By: PROF SHREE PRAKASH SINGH, CHIEF WARDEN, HOSTEL",15-12-2018,https://www.imsnsit.org/imsnsit/plum_url.php?5M6AKn8Ofmuf4car4PkKChAb/Fzh9g0DJNmqa0jBpsYzJ1AA81MILIoByLp5cqQUV9v9cwfvv18An5YiTvSpg7v7ra+N43calnZcII1neUi4kVdnNR98Umdn+OeCX9QwK6ITNO4KhGqoH3VxhMDoTHA4Q+TdsPNcMXvodCMZLyofIQ9RjLv8duCIFxkh2Bwx2n+F9fRrjZSH6IQZaRyHmui+ejKNgLo4vpstIvSEhCuYmFh1uZ3TlMnc6ocDo12a
5,"Last Date of Online Registration Extended upto 17th DecPublished By:  KHUSHIL KUMAR SAINI, NSIT ADMIN, CIMS",14-12-2018,https://www.imsnsit.org/imsnsit/plum_url.php?CZMK261Iwef+r1VuS04y3ddTzUnzvynZxN6mxSMvj6R+APiKYVd+MKcMYJqxKVtdbQqcYiK+8r9tpq4HF/tNIPyevwBB8rMENiaivT2mKorRpX0vofApX//mbSwdxnYFbuw1rn5gcUlQZ1uedX/MbKBGrMSB27cfFd6BRZfXUFnvihEt5X3YdnZGwql8BQ2PXo23YXPS6YxNRr9wZqgqHwogtVQRNPwc4BPpTRCvc54=
6,"Reschedule of Walk in interview for Guest FacultyPublished By:  PANKAJ AGGARWAL, ACADEMIC SECTION UG",14-12-2018,https://www.imsnsit.org/imsnsit/plum_url.php?ferRuCX0BcZGOKj9zJ6HT1cO+Jy1W2CW3gFG57R4JcSlCWU8qGPBOpIcfGopz3bLo8TOZlsuKK6/gt6b6D/Fr/gTlDoJq2wNrCIQw2Pl9DZCRUYLYuOrinBld+fmFL1Tqb9gJBrRlt7xhj91CXRV+dvBdmKVeb29RjeBljJtoaBzGiUmYTv+xCsXuo0oizxwYSXZyWYohhV4VAte6+IgWXYoflfcoDK6fTw75Jgt0gs=
7,"UPDATED TIME TABLEPublished By: Prof. ASHA RANI, INSTRUMENTATION AND CONTROL ENGINEERING",13-12-2018,https://www.imsnsit.org/imsnsit/plum_url.php?kxxLPai+bEO0uLfaNF4JSCcEhZEXwjQ2szn+I8DYn7hOvH3RTIPFvk/6XHZlSnKU1S/qo8rbtDAJb/WY0HjbGAfcsnkQCioEz+r3dG0gryB6O3zXtOIVoviGPnv7XCk6+27WFElU5BenfrZLil5pTUEKAkHFkKHE1EoIyQSxfFQ40IrXDGD/mYMbakHdsrqpNbzhWz1Bf1s4DrzxgVJ1VQ==
8,"REVISED TIME TABLE OF ICE DIVISION JAN-JULY 2019Published By: Prof. ASHA RANI, INSTRUMENTATION AND CONTROL ENGINEERING",13-12-2018,https://www.imsnsit.org/imsnsit/plum_url.php?paahS7nq2CPMWpypWKALnZqfsSRGQE/fx40XzkV/BmfKIXXMhLMuk8dD9LQvaChSQC8nC+LHjPhsQfYPOXxuM9PaAN5WTbUix/0/tFmXZsDpn4tkEMa5bkXOrZBUUoS850qOqL4AoMhSl977L6Tmf/sQBxyGBSjo2y7/TEqzSt8IPvb3GH4TXkoUQPwBj2JZO3ovvmadQJJFxdmRs6MspA==
9,"Revised Re-registration Fee of B.Tech/M.tech Students under CBCSPublished By:  ABHISHEK FAUJDAR, SENIOR SYSTEM ANALYST, ACADEMIC SECTION",12/12/2018,https://www.imsnsit.org/imsnsit/plum_url.php?KETm2gHz2nBmYzFBYPIyYUL3toweJzxAaXiq2wNw4IZfyzadR1+rJsnT4dj22r2IgWfOm0PBL6iCwt5OinxItRPf5bEVeWxhY56txaek+cS8rRQxZq1MqvzzMgSfCUQrSZo8GXWBCdsYGVkTYWAN1PqSc8id5jAQJcYP+fi5kHi6Up4Puu58vVH0M2ZrK+6YrtvGbhxumVwvvKNUY5WeTwa7bYkR6IKuXO3wHEfq6xux5az1NtI09xfoZpbwASBQ
